symbol,exchange,base_ticker,ticker,company_name,security_type,sector,sector_es,logo_json,stream_status,raw_vector_len,field_0_asset_class,field_3_daily_change_pct,field_15_market_cap,field_22_sector,field_23_sector_es,field_24_logo,field_25_price,field_27_ticker,field_28_company_name,field_29_stream_status,price,market_cap,daily_change_pct,market_cap_in_trillions,market_direction,heatmap_color,heatmap_color_intensity,heatmap_buy_sell_strength,heatmap_tile_width_px,heatmap_tile_height_px,heatmap_tile_area_px2,heatmap_render_source,heatmap_metric_1,heatmap_metric_2,heatmap_metric_3,heatmap_metric_4,heatmap_metric_5,heatmap_metric_6,heatmap_metric_7,heatmap_metric_8,heatmap_metric_9,heatmap_metric_10,heatmap_metric_11,heatmap_metric_12,heatmap_metric_13,heatmap_metric_14,heatmap_metric_15,heatmap_metric_16,heatmap_metric_17,heatmap_metric_18,heatmap_metric_19,heatmap_metric_20,heatmap_metric_21
AMEX:RLY,AMEX,RLY,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
OTC:UBSFY,OTC,UBSFY,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NYSE:LNN,NYSE,LNN,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
OTC:RDGMF,OTC,RDGMF,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NASDAQ:OXLCG,NASDAQ,OXLCG,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NASDAQ:IVVD,NASDAQ,IVVD,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NYSE:FT,NYSE,FT,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
CBOE:BMAY,CBOE,BMAY,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
OTC:SRXIF,OTC,SRXIF,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
CBOE:SKHN,CBOE,SKHN,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NYSE:AERO,NYSE,AERO,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NYSE:RPT,NYSE,RPT,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NASDAQ:XXX,NASDAQ,XXX,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NASDAQ:QQQM,NASDAQ,QQQM,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
OTC:KHNGF,OTC,KHNGF,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
