symbol,exchange,ticker,company_name,security_type,sector,currency,price,pricescale,market_cap,market_cap_trillions,daily_change_pct,daily_change_abs,perf_1m,perf_3m,perf_6m,perf_y,perf_ytd,volatility_d,price_52w_high,price_52w_low,avg_volume_30d,avg_volume_10d,volume,shares_outstanding,shares_outstanding_fund,employees,eps_ttm,revenue_per_employee,gross_profit_1y_growth,logoid,update_mode,market_direction
OTC:MHCUF,OTC,MHCUF,,common,Finance,USD,21.4,100,538660971.25801,0.0005,-0.7651286807326811,-0.1650000000000027,4.390243902439018,8.464267612772419,9.743589743589736,15.706947823736131,7.862903225806446,0.7945781724702113,23,17.75,2562.0333333333333,2309.8,300,19402056,19402056,230,4.8460544,,,flagship-communities-real-estate-investment-trust,delayed_streaming_900,sell
NASDAQ:MCFT,NASDAQ,MCFT,,common,Consumer Durables,USD,22.04,100,538554850.467749,0.0005,-3.290917068889864,-0.75,-8.925619834710744,-3.205972771190164,10.03494757863204,-4.00696864111499,16.428948758584255,15.84009829715192,28.44,17.19,180876.03333333333,181251.9,240293,24435300,24435300,700,0.6767,,,mastercraft-boat,delayed_streaming_900,sell
NYSE:ETD,NYSE,ETD,,common,Consumer Durables,USD,21.34,100,537821395.2160294,0.0005,-1.7042837402118884,-0.370000000000001,-8.725406330196746,-3.395201448619285,-4.132973944294706,-27.29131175468484,-6.771515945827875,2.7449124467581725,30.11,18.28,632940.9,793790.5,130549,25202500,25202500,3062,1.5666,,,ethan-allen,delayed_streaming_900,sell
OTC:DPCDF,OTC,DPCDF,,common,Consumer Services,USD,4.1,100,537240585.4347825,0.0005,0.7618579503563454,0.030999999999999694,15.49295774647887,-8.888888888888896,-51.707891637220264,-60.95238095238095,-55.67567567567568,2.499999999999991,11.5,3.55,1630.5,3302.4,656,131619250,131619250,11052,0.170491125,,,domino-s-pizza-enterprises-limited,delayed_streaming_900,buy
NYSE:XRN/PB,NYSE,XRN/PB,,preferred,Finance,USD,25.3,100,536012526,0.0005,0.19801980198020083,0.05000000000000071,-0.7827573765863002,1.9133937562940642,0.8771929824561501,0.7165571416437949,0.8973050176689163,0.19762845849802652,27.98,23.5,5814.8,1671.9,164,13237800,13237800,30,3.7225,,,global-medical-reit-series-a-cumulative-redeemable-preferred-stock,delayed_streaming_900,buy
NYSE:XRN/PA,NYSE,XRN/PA,,preferred,Finance,USD,25.07,100,536012526,0.0005,0.7231820008035345,0.17999999999999972,1.683228554045829,3.809523809523817,2.0296036432748754,-1.6091034042459842,3.168727506511651,1.632251085745649,25.56999969,23.51000023,4476.833333333333,3392.8,5937,13237800,13237800,30,3.7225,,,global-medical-reit-series-a-cumulative-redeemable-preferred-stock,delayed_streaming_900,buy
AMEX:URG,AMEX,URG,,common,Non-Energy Minerals,USD,1.345,100,535126686.2463769,0.0005,-2.5362318840579654,-0.03499999999999992,-6.59722222222222,-14.873417721518994,-15.937500000000005,-8.503401360544219,-3.9285714285714244,2.9850746268656576,2.35,1.12,5591756.133333334,4409734.7,1457387,397863700,397863700,157,-0.232,,,ur-energy,delayed_streaming_900,sell
NYSE:RWTN,NYSE,RWTN,,preferred,Finance,USD,24.5001,100,535108967,0.0005,-0.9296401132228089,-0.22990000000000066,-1.8425480769230813,-0.9696847210994288,-1.8032064128256495,-0.7289303079416529,-1.8032064128256495,2.818350133717337,25.7719,23.45,5611.766666666666,5150.3,8796,125612000,125612000,351,-0.0535,,,redwood-trust,delayed_streaming_900,sell
NYSE:RWT/PA,NYSE,RWT/PA,,preferred,Finance,USD,23.398,100,535108967,0.0005,-3.5531739488870646,-0.8620000000000019,-5.721653638488201,-2.953131480713396,-5.6532258064516165,-7.2935321806108115,-5.040584415584419,3.9862837548221317,25.6284,23.11,5125.566666666667,5392.9,20321,125612000,125612000,351,-0.0535,,,redwood-trust,delayed_streaming_900,sell
OTC:CPXGF,OTC,CPXGF,,common,Consumer Services,USD,8.49,100,534894073.7704082,0.0005,-0.5854800936768025,-0.049999999999998934,-2.4137931034482656,-1.9177449168207066,17.20044174489233,-0.4689331770222644,11.41732283464567,0.588928150765594,9.42,6.72,33072.566666666666,34148.4,7100,63002800,63002800,11499,-0.18149119999999996,,,cineplex,delayed_streaming_900,sell
