"asset_id","symbol","ticker","exchange","asset_class","sector","sector_es","company_name","logo_id","is_active","valid_from","valid_to","current_version","created_at","updated_at"
871,NYSE:PRS,PRS,NYSE,preferred,Finance,,PRS,,true,2026-09-10 12:13:39.791 -0500,infinity,true,2026-09-10 12:13:39.791 -0500,2026-09-10 16:15:25.175 -0500
884,OTC:OTSKY,OTSKY,OTC,"",Health Technology,,OTSKY,,true,2026-09-10 12:13:39.805 -0500,infinity,true,2026-09-10 12:13:39.805 -0500,2026-09-10 16:15:25.193 -0500
917,OTC:RNECY,RNECY,OTC,"",Electronic Technology,,RNECY,,true,2026-09-10 12:13:39.852 -0500,infinity,true,2026-09-10 12:13:39.852 -0500,2026-09-10 16:15:25.238 -0500
953,OTC:CICOF,CICOF,OTC,common,Transportation,,CICOF,,true,2026-09-10 12:13:39.880 -0500,infinity,true,2026-09-10 12:13:39.880 -0500,2026-09-10 16:15:25.324 -0500
932,OTC:SXYAY,SXYAY,OTC,"",Process Industries,,SXYAY,,true,2026-09-10 12:13:39.863 -0500,infinity,true,2026-09-10 12:13:39.863 -0500,2026-09-10 16:15:25.254 -0500
2955,OTC:SDZXF,SDZXF,OTC,common,Health Technology,,SDZXF,,true,2026-09-10 12:53:56.737 -0500,infinity,true,2026-09-10 12:53:56.737 -0500,2026-09-10 16:15:25.330 -0500
986,NYSE:WEC,WEC,NYSE,common,Utilities,,WEC,,true,2026-09-10 12:13:39.913 -0500,infinity,true,2026-09-10 12:13:39.913 -0500,2026-09-10 16:15:25.403 -0500
2990,OTC:BPERF,BPERF,OTC,common,Finance,,BPERF,,true,2026-09-10 12:53:56.773 -0500,infinity,true,2026-09-10 12:53:56.773 -0500,2026-09-10 16:15:25.411 -0500
995,OTC:DNZOF,DNZOF,OTC,common,Producer Manufacturing,,DNZOF,,true,2026-09-10 12:13:39.921 -0500,infinity,true,2026-09-10 12:13:39.921 -0500,2026-09-10 16:15:25.418 -0500
997,NASDAQ:STLD,STLD,NASDAQ,common,Non-Energy Minerals,,STLD,,true,2026-09-10 12:13:39.923 -0500,infinity,true,2026-09-10 12:13:39.923 -0500,2026-09-10 16:15:25.419 -0500
994,NASDAQ:ESLT,ESLT,NASDAQ,common,Electronic Technology,,ESLT,,true,2026-09-10 12:13:39.920 -0500,infinity,true,2026-09-10 12:13:39.920 -0500,2026-09-10 16:15:25.421 -0500
996,OTC:ICTEF,ICTEF,OTC,common,Transportation,,ICTEF,,true,2026-09-10 12:13:39.922 -0500,infinity,true,2026-09-10 12:13:39.922 -0500,2026-09-10 14:08:30.333 -0500
1000,OTC:DNZOY,DNZOY,OTC,"",Producer Manufacturing,,DNZOY,,true,2026-09-10 12:13:39.927 -0500,infinity,true,2026-09-10 12:13:39.927 -0500,2026-09-10 16:15:25.423 -0500
999,OTC:DLMAY,DLMAY,OTC,"",Retail Trade,,DLMAY,,true,2026-09-10 12:13:39.926 -0500,infinity,true,2026-09-10 12:13:39.926 -0500,2026-09-10 16:15:25.422 -0500
1,NASDAQ:NVDA,NVDA,NASDAQ,common,Electronic Technology,,NVDA,,true,2026-09-10 12:13:38.827 -0500,infinity,true,2026-09-10 12:13:38.827 -0500,2026-09-10 16:15:24.061 -0500
62,NYSE:KO,KO,NYSE,common,Consumer Non-Durables,,KO,,true,2026-09-10 12:13:38.909 -0500,infinity,true,2026-09-10 12:13:38.909 -0500,2026-09-10 16:15:24.148 -0500
64,NYSE:CAT,CAT,NYSE,common,Producer Manufacturing,,CAT,,true,2026-09-10 12:13:38.912 -0500,infinity,true,2026-09-10 12:13:38.912 -0500,2026-09-10 16:15:24.151 -0500
102,OTC:PCCYF,PCCYF,OTC,common,Energy Minerals,,PCCYF,,true,2026-09-10 12:13:38.982 -0500,infinity,true,2026-09-10 12:13:38.982 -0500,2026-09-10 16:15:24.188 -0500
124,OTC:NSRGF,NSRGF,OTC,common,Consumer Non-Durables,,NSRGF,,true,2026-09-10 12:13:39.015 -0500,infinity,true,2026-09-10 12:13:39.015 -0500,2026-09-10 16:15:24.232 -0500
40,NYSE:BAC/PE,BAC/PE,NYSE,preferred,Finance,,BAC/PE,,true,2026-09-10 12:13:38.882 -0500,infinity,true,2026-09-10 12:13:38.882 -0500,2026-09-10 16:15:24.122 -0500
5,NASDAQ:GOOGN,GOOGN,NASDAQ,preferred,Technology Services,,GOOGN,,true,2026-09-10 12:13:38.834 -0500,infinity,true,2026-09-10 12:13:38.834 -0500,2026-09-10 16:15:24.069 -0500
11824,OTC:SUHJF,SUHJF,OTC,common,Finance,,SUHJF,,true,2026-09-10 16:09:55.685 -0500,infinity,true,2026-09-10 16:09:55.685 -0500,2026-09-10 16:15:25.106 -0500
11989,OTC:FINMF,FINMF,OTC,common,Electronic Technology,,FINMF,,true,2026-09-10 16:09:55.896 -0500,infinity,true,2026-09-10 16:09:55.896 -0500,2026-09-10 16:15:25.407 -0500
